Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
699a9f15fce1f26105e7b87b,6313bb3b3d3981dc7402a033,APPROVED,Not Applicable,2026-02-22T06:15:53.379000Z,2026-02-22T06:25:26.821000Z,2026-02-25T18:27:37.279000Z,2026-02-22T06:25:27.165690Z,574,C10I7UA6,2271,26,Female,White,United States,United States,United States,English,No,Part-Time
699aa231cf8302379e90cbf8,69839e00693d0f360c3e6821,APPROVED,Not Applicable,2026-02-22T06:29:08.690000Z,2026-02-22T06:34:43.135000Z,2026-02-25T18:27:37.566000Z,2026-02-22T06:34:43.503186Z,335,C10I7UA6,318,53,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
699ab18d8e3022dcd79e3356,69876765b337f837ebfef902,APPROVED,Not Applicable,2026-02-22T07:34:40.449000Z,2026-02-22T07:40:17.090000Z,2026-02-25T18:27:37.862000Z,2026-02-22T07:40:17.440861Z,337,NOCODE,79,27,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
699abe7ed2ab6faf04da4498,698ae38c8f392cfd9afbfa2f,APPROVED,Not Applicable,2026-02-22T08:29:56.879000Z,2026-02-22T08:37:45.325000Z,2026-02-25T18:27:38.138000Z,2026-02-22T08:37:45.669284Z,469,NOCODE,40,18,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
699ae0fea523b489995ab06b,60a7ed991485489d24b83e94,APPROVED,Not Applicable,2026-02-22T10:57:08.601000Z,2026-02-22T11:07:43.924000Z,2026-02-25T18:27:38.428000Z,2026-02-22T11:07:44.281882Z,636,NOCODE,2389,61,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
699aee7088c29a46a6c2067c,6914e0900c27e175798f4983,APPROVED,Not Applicable,2026-02-22T11:54:30.542000Z,2026-02-22T12:09:21.564000Z,2026-02-25T18:27:38.926000Z,2026-02-22T12:09:22.368084Z,892,C10I7UA6,1358,44,Male,Black,Nigeria,United States,Nigeria,English,No,Full-Time
699af865c259c28f4445afe3,66bcbbd35d182838b25ff7df,APPROVED,Not Applicable,2026-02-22T12:36:58.535000Z,2026-02-22T12:39:48.816000Z,2026-02-25T18:27:39.395000Z,2026-02-22T12:39:49.234295Z,171,C10I7UA6,1256,63,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
699b2b55104a1e28d6e1c23b,6643e3f1c6b82e9da715af9b,APPROVED,Not Applicable,2026-02-22T16:14:17.690000Z,2026-02-22T16:21:59.297000Z,2026-02-25T18:27:39.796000Z,2026-02-22T16:21:59.641995Z,462,C10I7UA6,1804,31,Female,White,United States,United States,United States,English,No,Full-Time
699b2fc35556ae81231ec601,63d95f053f0c6988bd100683,APPROVED,Not Applicable,2026-02-22T16:40:52.192000Z,2026-02-22T16:48:22.913000Z,2026-02-25T18:27:40.187000Z,2026-02-22T16:48:23.274761Z,451,C10I7UA6,1168,25,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
699b39c3d0ad6895ca0774b9,698cfd0503a02f6756913176,APPROVED,Not Applicable,2026-02-22T17:15:47.773000Z,2026-02-22T17:20:08.387000Z,2026-02-25T18:27:40.501000Z,2026-02-22T17:20:08.760913Z,261,C10I7UA6,1,40,Female,White,United States,United States,DATA_EXPIRED,English,No,Full-Time
