Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
699cad4db2f394dcbbdccb04,5fe18e1c8929f0c2a41e43d8,APPROVED,Not Applicable,2026-02-23T19:41:04.850000Z,2026-02-23T19:46:03.556000Z,2026-03-02T04:11:08.329000Z,2026-02-23T19:46:03.933695Z,299,C10I7UA6,6789,29,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
699cb41c18db248bd1d43282,5f744fb50bfbbd0a01cd5435,APPROVED,Not Applicable,2026-02-23T20:10:08.699000Z,2026-02-23T20:16:57.208000Z,2026-03-02T04:11:08.654000Z,2026-02-23T20:16:57.573640Z,409,C10I7UA6,5927,50,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
699cd06d325ab6ded5b7c6e4,58d4c4c287b2420001263b6a,APPROVED,Not Applicable,2026-02-23T22:10:58.654000Z,2026-02-23T22:24:49.026000Z,2026-03-02T04:11:08.992000Z,2026-02-23T22:24:49.380801Z,831,NOCODE,6286,59,Female,Mixed,United States,United States,United States,English,No,Other
699ce01863b3728674805b66,6126ecc3ebef11936ed8bfcb,APPROVED,Not Applicable,2026-02-23T23:17:49.430000Z,2026-02-23T23:21:15.201000Z,2026-03-02T04:11:09.330000Z,2026-02-23T23:21:15.638920Z,206,C10I7UA6,10843,52,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
699e7795c303a688a8dfbc06,57a93244dcff7d0001c7d86f,APPROVED,Not Applicable,2026-02-25T04:16:25.414000Z,2026-02-25T04:28:35.448000Z,2026-03-02T04:11:09.635000Z,2026-02-25T04:28:35.780399Z,731,C10I7UA6,4485,31,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
699f0b6f345312f81802ce8d,5e2ac2aa0038f21089a533a4,APPROVED,Not Applicable,2026-02-25T14:47:20.014000Z,2026-02-25T14:53:57.524000Z,2026-03-02T04:11:09.957000Z,2026-02-25T14:53:57.921139Z,398,C10I7UA6,13159,46,Female,White,United States,United States,United States,English,No,Full-Time
699f6ce63b9981ebdfae4731,63bf40687b33e43442effb9b,APPROVED,Not Applicable,2026-02-25T21:43:25.367000Z,2026-02-25T21:47:07.975000Z,2026-03-02T04:11:10.249000Z,2026-02-25T21:47:08.419453Z,223,C10I7UA6,6684,43,Male,White,United States,United States,United States,English,No,Full-Time
699ff9ef0bd5b222cfe23f3b,62fe6312269d0e4ae894297b,APPROVED,Not Applicable,2026-02-26T07:44:47.024000Z,2026-02-26T07:51:03.158000Z,2026-03-02T04:11:10.553000Z,2026-02-26T07:51:03.494865Z,377,NOCODE,7836,36,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
69a31edfd1a70bcff0ec9bb9,6643bed0ed868a9901a9ddec,APPROVED,Not Applicable,2026-02-28T16:59:16.314000Z,2026-02-28T17:03:22.550000Z,2026-03-02T04:11:10.881000Z,2026-02-28T17:03:22.947304Z,247,C10I7UA6,696,23,Female,White,United States,United States,United States,English,No,Part-Time
69a32c19fdd778a1cb90fc55,66293f7d355cb2780b2b2ab1,APPROVED,Not Applicable,2026-02-28T17:55:41.184000Z,2026-02-28T18:02:00.998000Z,2026-03-02T04:11:11.172000Z,2026-02-28T18:02:01.393799Z,380,C10I7UA6,5255,52,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
