Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6998b7b0daf21c1df43dd15c,5ff591cba89e1b000bfb9852,RETURNED,Not Applicable,2026-02-20T19:43:52.470000Z,,,2026-02-21T20:46:24.263222Z,,,19449,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6998b7d75cd4e97ff34f21ca,63eda5a4a87d8bd73853fa8e,AWAITING REVIEW,Not Applicable,2026-02-20T19:37:02.611000Z,2026-02-20T19:41:05.842000Z,,2026-02-20T19:41:06.443998Z,244,C10I7UA6,4648,36,Male,Asian,United States,United States,United States,English,No,Full-Time
6998b7d7fd4b69f53cc249c4,5b5a822e1ad8270001c4f28d,RETURNED,Not Applicable,2026-02-20T19:37:00.059000Z,,,2026-02-21T20:46:24.263199Z,,,17168,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6998b84361238fb7d3242eff,66231fc6e1ecba676935943a,AWAITING REVIEW,Not Applicable,2026-02-20T19:38:43.389000Z,2026-02-20T19:43:25.402000Z,,2026-02-20T19:43:25.784900Z,283,C10I7UA6,6818,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6998b866499493770bc694b8,5ff07b5ee7a1d23e719e421e,AWAITING REVIEW,Not Applicable,2026-02-20T19:39:22.905000Z,2026-02-20T19:43:27.348000Z,,2026-02-20T19:43:27.737098Z,245,NOCODE,14116,71,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6998b916b46862343f1fc639,655f95ffd90905e27c938a49,AWAITING REVIEW,Not Applicable,2026-02-20T19:42:14.055000Z,2026-02-20T19:48:46.903000Z,,2026-02-20T19:48:47.315638Z,393,C10I7UA6,6588,35,Female,Asian,United States,United States,United States,English,No,Full-Time
6998b9d4c4a2cc2e9a0c21b7,5d617ba9364f9a0019f1dac3,SCREENED OUT,Not Applicable,2026-02-20T19:45:24.692000Z,2026-02-20T19:46:55.583000Z,,2026-02-20T19:46:55.830811Z,91,C1DLJ7HW,15887,40,Female,Asian,Japan,United States,United States,Japanese,No,Full-Time
6998b9dc8ccde64ac8230443,606cf604adbb6982bb382881,AWAITING REVIEW,Not Applicable,2026-02-20T19:45:36.648000Z,2026-02-20T19:50:46.396000Z,,2026-02-20T19:50:46.768599Z,310,C10I7UA6,10536,40,Male,White,United States,United States,United States,English,No,Full-Time
6998b9fe776a8c2f64b7923d,671bbaf1bec15d847b871b9b,SCREENED OUT,Not Applicable,2026-02-20T19:46:12.913000Z,2026-02-20T19:48:13.899000Z,,2026-02-20T19:48:14.131614Z,121,C1DLJ7HW,6768,33,Male,Black,Kenya,United States,Kenya,English,No,Full-Time
6998ba7080f30d899a280881,616cf9ae07c1c6bd05d95beb,AWAITING REVIEW,Not Applicable,2026-02-20T19:48:05.908000Z,2026-02-20T19:52:46.896000Z,,2026-02-20T19:52:47.237714Z,281,C10I7UA6,12780,50,Male,White,United States,United States,United States,English,No,Full-Time
