Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,What is the highest level of education you have completed?,"Would you describe yourself as proficient or better in English (able to read, write, and communicate effectively)?",Have you ever participated in medical training or shadowing in a hospital?,Have you completed any advanced (college graduate-level) biology courses?,This study has two phases and will last approximately one month. Please indicate whether you agree to participate for the full duration of the study.
698f71d6c62e3a5aad11a738,66e99d20cc408a0176e37b3a,AWAITING REVIEW,Not Applicable,2026-02-13T18:47:53.987000Z,2026-02-13T18:48:19.832000Z,,2026-02-13T18:48:20.412135Z,26,NOCODE,3545,English,No formal qualifications,37,Male,White,United States,United States,United States,English,No,Other,Less than High School,Yes,No,No,Yes
698f71efaa28abccd11763ea,5ba9873edd59150001384069,AWAITING REVIEW,Not Applicable,2026-02-13T18:48:17.687000Z,2026-02-13T18:48:32.207000Z,,2026-02-13T18:48:32.809184Z,15,NOCODE,2600,English,Undergraduate degree (BA/BSc/other),29,Male,White,United States,United States,United States,English,No,Full-Time,Bachelor's degree,Yes,No,No,Yes
698f71f06258c44e3c6e5691,5c224f5289f0350001738d48,AWAITING REVIEW,Not Applicable,2026-02-13T18:48:19.370000Z,2026-02-13T18:48:50.496000Z,,2026-02-13T18:48:51.221625Z,32,NOCODE,6454,"Spanish, English",High school diploma/A-levels,33,Female,Other,United States,United States,United States,Spanish,No,Full-Time,High school (including GED),Yes,No,No,Yes
698f71f3da6dd6c872603d32,6126ecc3ebef11936ed8bfcb,AWAITING REVIEW,Not Applicable,2026-02-13T18:48:21.776000Z,2026-02-13T18:48:51.627000Z,,2026-02-13T18:48:52.198184Z,30,NOCODE,10767,English,Technical/community college,52,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Associate degree,Yes,No,No,Yes
698f71f8b5dbc1fee4315caa,669a5544d120ad623fa1f864,AWAITING REVIEW,Not Applicable,2026-02-13T18:48:26.415000Z,2026-02-13T18:48:57.237000Z,,2026-02-13T18:48:57.877521Z,31,NOCODE,797,English,High school diploma/A-levels,69,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",High school (including GED),Yes,No,No,Yes
698f71ff7e5ec6c7fe5177a3,66231fc6e1ecba676935943a,AWAITING REVIEW,Not Applicable,2026-02-13T18:48:33.201000Z,2026-02-13T18:48:53.562000Z,,2026-02-13T18:48:54.131580Z,21,NOCODE,6713,English,Technical/community college,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Associate degree,Yes,No,No,Yes
698f72009ae9f1580728690f,5aa485b11eda41000136c94b,AWAITING REVIEW,Not Applicable,2026-02-13T18:48:34.306000Z,2026-02-13T18:49:02.383000Z,,2026-02-13T18:49:03.303331Z,29,NOCODE,2838,English,Graduate degree (MA/MSc/MPhil/other),38,Female,Asian,United States,United States,United States,English,No,DATA_EXPIRED,Master's degree,Yes,No,No,Yes
698f7208ecbd890be4201817,66e9cc5fb04f5ba6d8b5a3f1,AWAITING REVIEW,Not Applicable,2026-02-13T18:48:43.324000Z,2026-02-13T18:49:08.798000Z,,2026-02-13T18:49:09.393844Z,26,NOCODE,7778,English,Technical/community college,65,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Associate degree,Yes,No,No,Yes
698f720909ed95bda51bf832,56f59251736c79000c2241f7,AWAITING REVIEW,Not Applicable,2026-02-13T18:48:44.098000Z,2026-02-13T18:49:16.393000Z,,2026-02-13T18:49:17.004437Z,33,NOCODE,8690,English,High school diploma/A-levels,35,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),High school (including GED),Yes,No,No,Yes
698f720a4bdb773cd3703f5e,66889eb9573ca69b3ff84d9d,AWAITING REVIEW,Not Applicable,2026-02-13T18:48:45.171000Z,2026-02-13T18:49:26.373000Z,,2026-02-13T18:49:26.955243Z,42,NOCODE,2358,English,Technical/community college,47,Male,White,United States,United States,United States,English,No,Part-Time,Associate degree,Yes,No,No,Yes
