Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,What is the highest level of education you have completed?,"Would you describe yourself as proficient or better in English (able to read, write, and communicate effectively)?",Have you ever participated in medical training or shadowing in a hospital?,Have you completed any advanced (college graduate-level) biology courses?,This study has two phases and will last approximately one month. Please indicate whether you agree to participate for the full duration of the study.
698f721d823f6496e4c6398d,678ee79d3b1ae1fcef919bc0,AWAITING REVIEW,Not Applicable,2026-02-13T18:49:05.295000Z,2026-02-13T18:50:38.875000Z,,2026-02-13T18:50:39.597398Z,94.0,NOCODE,919,English,High school diploma/A-levels,48,Male,Black,United States,United States,United States,English,No,Full-Time,High school (including GED),Yes,No,No,Yes
698f7273c370027f3998ca22,650b03136ab3d4c832d98b71,AWAITING REVIEW,Not Applicable,2026-02-13T18:50:29.555000Z,2026-02-13T18:52:01.382000Z,,2026-02-13T18:52:02.015896Z,92.0,NOCODE,15554,"Hebrew, English, Russian",Undergraduate degree (BA/BSc/other),32,Male,Other,Israel,United States,United States,Hebrew,No,Part-Time,Bachelor's degree,Yes,No,No,Yes
698f727bb7f313c0ddba3254,5ae3563e5cd05500015ed96b,AWAITING REVIEW,Not Applicable,2026-02-13T18:50:37.535000Z,2026-02-13T18:51:36.145000Z,,2026-02-13T18:51:36.757454Z,59.0,NOCODE,11309,English,Undergraduate degree (BA/BSc/other),40,Female,White,United States,United States,United States,English,No,Full-Time,Bachelor's degree,Yes,No,No,Yes
698f729fe2888ed3b792bb86,666ce2f92aed5d69578ad8ba,AWAITING REVIEW,Not Applicable,2026-02-13T18:51:14.253000Z,2026-02-13T18:52:07.052000Z,,2026-02-13T18:52:07.739684Z,53.0,NOCODE,1197,English,High school diploma/A-levels,69,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",High school (including GED),Yes,No,No,Yes
698f72c3034505bb7f6078cb,698bb8ebf10b4ea1ffd57293,AWAITING REVIEW,Not Applicable,2026-02-13T18:51:49.821000Z,2026-02-13T18:52:12.129000Z,,2026-02-13T18:52:12.774618Z,23.0,NOCODE,20,"English, Hebrew",High school diploma/A-levels,19,Female,White,United States,United States,DATA_EXPIRED,English,No,Unemployed (and job seeking),High school (including GED),Yes,No,No,Yes
698f72deef84eefa54e2a87d,697cf08b96fd82314adfa665,AWAITING REVIEW,Not Applicable,2026-02-13T18:52:18.510000Z,2026-02-13T18:53:09.740000Z,,2026-02-13T18:53:10.316768Z,52.0,NOCODE,96,English,High school diploma/A-levels,63,Female,White,United States,United States,United States,English,No,Part-Time,High school (including GED),Yes,No,No,Yes
698f73521d6aa4ad2f9d6be1,698c919d505ef1862de8b8e9,AWAITING REVIEW,Not Applicable,2026-02-13T18:54:12.487000Z,2026-02-13T18:54:44.382000Z,,2026-02-13T18:54:45.432741Z,32.0,NOCODE,57,English,High school diploma/A-levels,28,Female,Asian,United States,United States,United States,English,No,Unemployed (and job seeking),High school (including GED),Yes,No,No,Yes
698f73bdf3305b8ff1563e55,695fb3678de780f2824eecf5,RETURNED,Not Applicable,2026-02-13T18:55:59.084000Z,2026-02-13T18:56:18.256000Z,,2026-02-13T19:07:55.202811Z,,NOCODE,207,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Master's degree,Yes,No,No,Yes
698f73eb6f8fc3a353c79e3b,69795f83cde2b0277764306f,AWAITING REVIEW,Not Applicable,2026-02-13T18:56:46.379000Z,2026-02-13T18:57:37.855000Z,,2026-02-13T18:57:38.480329Z,52.0,NOCODE,36,English,High school diploma/A-levels,25,Male,White,United States,United States,United States,English,No,Part-Time,High school (including GED),Yes,No,No,Yes
698f746770fa9b3aeadf2342,5dcf4136cf8e7e086ea019e4,AWAITING REVIEW,Not Applicable,2026-02-13T18:58:49.640000Z,2026-02-13T19:01:30.994000Z,,2026-02-13T19:01:31.593789Z,162.0,NOCODE,15921,English,Undergraduate degree (BA/BSc/other),58,Female,White,United States,United States,United States,English,No,Part-Time,Bachelor's degree,Yes,No,No,Yes
